檔案路徑,函式名稱,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,QueryTimes
composite-view/src/test/java/com/iluwatar/compositeview/AppServletTest.java,testDoGet(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
dirty-flag/src/main/java/com/iluwatar/dirtyflag/DataFetcher.java,fetch(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
event-based-asynchronous/src/main/java/com/iluwatar/event/asynchronous/App.java,setUp(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
event-queue/src/main/java/com/iluwatar/event/queue/Audio.java,getAudioStream(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","1 (Δ; base=0, round=1, CodeQL(1)+Semgrep(0))",#,#,#,#,#,#,4
event-sourcing/src/main/java/com/iluwatar/event/sourcing/processor/EventJournal.java,reset(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
event-sourcing/src/main/java/com/iluwatar/event/sourcing/processor/JsonFileJournal.java,JsonFileJournal(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
execute-around/src/main/java/com/iluwatar/execute/around/App.java,main(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
execute-around/src/main/java/com/iluwatar/execute/around/SimpleFileWriter.java,SimpleFileWriter(),"1 (Δ; base=0, round=1, CodeQL(1)+Semgrep(0))",#,#,#,#,#,#,#,#,#,1
execute-around/src/test/java/com/iluwatar/execute/around/AppTest.java,cleanup(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
execute-around/src/test/java/com/iluwatar/execute/around/SimpleFileWriterTest.java,testCreatesNonExistentFile(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
hexagonal-architecture/src/main/java/com/iluwatar/hexagonal/administration/ConsoleAdministration.java,main(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
hexagonal-architecture/src/main/java/com/iluwatar/hexagonal/mongo/MongoConnectionPropertiesLoader.java,load(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
hexagonal-architecture/src/main/java/com/iluwatar/hexagonal/service/ConsoleLottery.java,main(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
model-view-presenter/src/main/java/com/iluwatar/model/view/presenter/FileLoader.java,fileExists(),"2 (Δ; base=0, round=2, CodeQL(2)+Semgrep(0))",#,#,#,#,#,#,#,#,#,1
monolithic-architecture/src/main/java/com/iluwatar/monolithic/EcommerceApp.java,run(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
monolithic-architecture/src/test/java/com/iluwatar/monolithic/MonolithicAppTest.java,testRegisterUser(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
page-object/sample-application/src/main/java/com/iluwatar/pageobject/App.java,main(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
promise/src/main/java/com/iluwatar/promise/Utility.java,downloadFile(),"2 (Δ; base=0, round=2, CodeQL(2)+Semgrep(0))",#,#,#,#,#,#,#,#,#,1
reactor/src/main/java/com/iluwatar/reactor/app/AppClient.java,run(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
serialized-entity/src/test/java/com/iluwatar/serializedentity/CountryTest.java,testSerializable(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
tolerant-reader/src/main/java/com/iluwatar/tolerantreader/RainbowFishSerializer.java,readV1(),"3 (Δ; base=0, round=3, CodeQL(3)+Semgrep(0))",#,#,#,#,#,#,#,#,#,1
tolerant-reader/src/test/java/com/iluwatar/tolerantreader/AppTest.java,cleanup(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
tolerant-reader/src/test/java/com/iluwatar/tolerantreader/RainbowFishSerializerTest.java,testWriteV1ReadV1(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
type-object/src/main/java/com/iluwatar/typeobject/JsonParser.java,parse(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
